"预测日期","目标日期","排名","代码","名称","市场","预测类型","预测逻辑","触发条件","失效条件","收盘价","涨跌幅","是否触发","是否失效","复盘结果","复盘备注"
"2026/6/14","2026/6/15","1","002050","三花智控","A股","核心承接","机器人/热管理主线，观察回踩不破后转强","回踩不破并重新站稳短线均线","跌破短线支撑并放量转弱","45.75","2.10%","是","否","命中","根据复盘报告重建。趋势维持强势，符合第一梯队观察预期。"
"2026/6/14","2026/6/15","2","300316","晶盛机电","A股","核心承接","高端制造/半导体设备方向，观察强势结构能否延续","维持强趋势结构并转强","高位震荡后跌破短线平台","52.15","10.77%","是","否","命中","根据复盘报告重建。明显转强，超预期命中。"
"2026/6/14","2026/6/15","3","002149","西部材料","A股","弹性进攻","材料方向轮动映射，观察是否放量站稳平台","放量站稳并形成平台确认","冲高回落且未站稳平台","59.80","0.00%","是","否","部分命中","根据复盘报告重建。方向有表现但平台确认不足。"
"2026/6/14","2026/6/15","4","0981.HK","中芯国际","港股","核心承接","港股半导体主线，观察是否继续站稳短线平台","站稳短线平台且强于同类","跌破短线平台下方","76.65","6.98%","是","否","命中","根据复盘报告重建。港股半导体主线兑现，第一梯队命中。"
"2026/6/14","2026/6/15","5","1810.HK","小米集团-W","港股","稳健观察","AI终端/智能硬件方向，观察是否走强","继续放量且强于恒指","冲高回落且弱于港股科技","26.26","0.23%","否","否","未命中","根据复盘报告重建。未体现主线强度，降为观察。"
"2026/6/14","2026/6/15","6","002709","天赐材料","A股","轮动备选","新能源材料轮动备选，观察是否出现资金回流","放量修复并转强","继续弱于市场且未修复关键位","49.02","-1.25%","否","否","未命中","根据复盘报告重建。新能源轮动未出现，暂不进执行前排。"
"2026/6/14","2026/6/15","7","603662","柯力传感","A股","稳健观察","机器人传感器方向，观察能否稳定承接","放量承接且强于机器人链","冲高回落或弱于机器人链","66.60","3.51%","是","否","命中","根据复盘报告重建。承接有效，适合作为跟踪样本。"
"2026/6/14","2026/6/15","8","000547","航天发展","A股","题材进攻","军工/商业航天题材，观察情绪延续","情绪延续且板块配合","不能转强或跌回关键位","19.92","-3.54%","否","是","未命中","根据复盘报告重建。题材冲高风险兑现，未形成有效进攻。"
"2026/6/14","2026/6/15","9","9880.HK","优必选","港股","弹性观察","机器人高弹性方向，观察是否继续发酵","高弹性方向发酵且强于恒指","冲高回落或跌破短线支撑","113.50","6.27%","是","否","命中","根据复盘报告重建。高弹性兑现，命中。"
"2026/6/14","2026/6/15","10","9660.HK","地平线机器人-W","港股","弹性观察","AI/机器人高弹性观察，验证是否跟随主线","强于恒指并出现短线承接","跌破短线支撑","4.65","-1.06%","否","否","未命中","根据复盘报告重建。没有体现AI/机器人弹性，暂不纳入执行。"
"2026/6/14","2026/6/15","11","2432.HK","越疆","港股","弹性观察","机器人高弹性观察，验证是否有短线共振","强于恒指并有承接","冲高回落或弱于机器人链","28.34","1.65%","是","否","部分命中","根据复盘报告重建。小幅修复但强度一般。"
"2026/6/15","2026/6/16","1","300316","晶盛机电","A股","核心承接","强势上涨后看次日承接，避免追高","回踩不破并维持强势平台","高开回落且跌破短线承接位","51.69","-0.88%","是","否","部分命中","收盘51.69，较前日-0.88%，未转成收盘上涨，但仍守在强势平台附近，承接有但强度不足。"
"2026/6/15","2026/6/16","2","0981.HK","中芯国际","港股","核心承接","半导体主线兑现后观察76-77港元附近能否站稳","站稳76-77港元且强于同类","跌回76港元下方","74.00","-3.46%","否","是","未命中","收盘74.00，较前日-3.46%，跌回76港元下方，核心承接判断失效。"
"2026/6/15","2026/6/16","3","002050","三花智控","A股","稳健观察","稳健趋势票，等待回踩承接","回踩44.7-45.0不破并转强","跌破44.7且放量转弱","45.12","-1.38%","是","否","部分命中","收盘45.12，较前日-1.38%，低点44.90接近预设回踩区，未有效转强但未失效。"
"2026/6/15","2026/6/16","4","002837","英维克","A股","弹性进攻","液冷方向转强，观察能否站稳70并继续上攻","站稳70并挑战71.9-72","跌破68.5","73.19","3.77%","是","否","命中","收盘73.19，较前日+3.77%，站稳70并突破目标区，弹性进攻命中。"
"2026/6/15","2026/6/16","5","600105","永鼎股份","A股","稳健观察","光通信趋势强，观察52-53区间承接","维持52-53上方且量能不萎缩","跌破51","58.88","10.00%","是","否","命中","收盘58.88，较前日+10.00%，全天维持52-53上方并显著走强。"
"2026/6/15","2026/6/16","6","600176","中国巨石","A股","弹性进攻","涨停后观察次日承接，不追高","开盘不差且44-45一带强承接","高开冲高回落或跌破43","49.64","8.46%","是","否","部分命中","收盘49.64，较前日+8.46%，方向正确但未给44-45理想承接点，属于高开超预期。"
"2026/6/15","2026/6/16","7","600522","中天科技","A股","稳健观察","光通信强趋势延续观察","继续强于市场并维持短线强势","跌破短线平台","54.15","5.45%","是","否","命中","收盘54.15，较前日+5.45%，延续强趋势，稳健观察命中。"
"2026/6/15","2026/6/16","8","06613.HK","蓝思科技H","港股","弹性进攻","港股AI硬件强势后看次日承接","继续放量且强于恒指并不冲高回落","明显跌回前日突破位","27.82","5.62%","是","否","命中","收盘27.82，较前日+5.62%，延续放量强势且收盘接近高位。"
"2026/6/16","2026/6/17","1","002709","天赐材料","A股","非规则票","锂电材料低位强修复，观察是否站稳短线均线","站稳51.5-52.0并继续放量","跌破50.9或跌回51.5","52.85","1.09%","是","否","命中","非原交易规则票。收盘52.85，较前日+1.09%，守住51.5-52.0并继续维持修复结构。"
"2026/6/16","2026/6/17","2","002837","英维克","A股","非规则票","液冷/算力方向继续强，观察能否站稳20日线","站稳72-73并强于指数","跌破70或跌回72","74.62","1.95%","是","否","命中","非原交易规则票。收盘74.62，较前日+1.95%，站稳72-73，趋势延续。"
"2026/6/16","2026/6/17","3","06613.HK","蓝思科技H","港股","非规则票","港股AI硬件延续强势，核心短线继续上攻","站稳27.5并强于恒指","跌破26.8或冲高回落","28.28","7.37%","是","否","命中","非原交易规则票。收盘28.28，较前日+7.37%，强于恒指并站稳27.5。"
"2026/6/16","2026/6/17","4","600114","东睦股份","A股","非规则票","高端制造/粉末冶金趋势延续，观察平台突破","站稳42并突破43","跌破41.8且放量回落","43.24","2.10%","是","否","命中","非原交易规则票。收盘43.24，较前日+2.10%，站稳42并突破43，趋势仍在。"
"2026/6/16","2026/6/17","5","300058","蓝色光标","A股","非规则票","AI传媒低位补涨，观察能否放量修复","放量站稳15.3-15.5","跌破14.8且量能继续走弱","14.95","-0.86%","否","是","未命中","非原交易规则票。收盘14.95，较前日-0.86%，未站上15.3-15.5，补涨修复未兑现。"
"2026/6/16","2026/6/17","6","600176","中国巨石","A股","非规则高风险观察","材料方向连续上涨，观察强势后承接但不追高","站稳48且维持高位承接","跌破47或高开冲高回落","54.60","9.99%","是","否","命中","非原交易规则票。收盘54.60，较前日+9.99%，强者恒强兑现，但已明显加速。"
"2026/6/17","2026/6/18","1","002837","英维克","A股","核心承接","光通信/算力液冷延续强势，观察回踩承接后能否再上攻","守住72-73，并重新向75.5上方尝试","跌破72且放量走弱","74.37","-0.34%","是","否","部分命中","收盘74.37，较前日-0.34%，盘中上冲75.5上方但收盘回落翻绿，守住72-73承接位，方向对但确认度不够。"
"2026/6/17","2026/6/18","2","600522","中天科技","A股","稳健观察","光通信趋势维持，观察是否继续稳步上攻","守住54附近，并重新挑战56.3","跌破52.6且放量回落","56.55","+2.99%","是","否","命中","收盘56.55，较前日+2.99%，守住54附近并突破56.3，稳健趋势延续。"
"2026/6/17","2026/6/18","3","06613.HK","蓝思科技H","港股","弹性进攻","AI硬件/消费电子强势后观察是否继续放量上冲","站稳27.5-28.0，突破29.1更强","跌回27.0且冲高回落明显","29.96","+5.94%","是","否","命中","收盘29.96港元，较前日+5.94%，站稳27.5-28.0并突破29.1，弹性进攻确认命中。此前误把昨收28.28录成今日收盘，已更正。"
"2026/6/17","2026/6/18","4","002436","兴森科技","A股","弹性进攻","PCB/封装基板方向转强，观察能否延续放量突破","守住46-47，并继续强于半导体链","跌破45且放量回落","52.06","+8.91%","是","否","命中","收盘52.06，较前日+8.91%，守住46-47并显著强于半导体链，弹性延续。"
"2026/6/17","2026/6/18","5","000636","风华高科","A股","稳健观察","被动元件趋势修复，观察是否继续稳住关键区间","守住72-74区间，并继续强于板块","跌破70且放量走弱","74.60","+0.73%","是","否","命中","收盘74.60，较前日+0.73%，守住72-74区间且继续偏强，稳健观察命中。"
"2026/6/17","2026/6/18","6","002156","通富微电","A股","弹性进攻","半导体封测转强，观察是否继续上攻","守住65-67，并继续上攻；突破69更强","跌破63且放量回落","68.27","+1.56%","是","否","命中","收盘68.27，较前日+1.56%，守住65-67并上冲69上方，半导体封测延续。"
"2026/6/17","2026/6/18","7","600114","东睦股份","A股","核心承接","高端制造/机器人链延续，观察平台承接后能否再上攻","守住42.8-43.0并重新上攻；突破45.15更强","跌破42.0且放量转弱","43.85","+1.41%","是","否","命中","收盘43.85，较前日+1.41%，守住42.8-43.0并突破45.15后回落但仍收强，承接有效。"
